Sl.No,Language,Language,Exam,Question,Answer Link,,,,,,,,,,,
142,dotnet,asp,project,movie rental simulation system dotnet project,https://mega.nz/file/Jgom0DJQ#FBqfo17e2uXJX2s1MueUktSrUPECyGlHkuFfthG1nb8,65,,,,,,,,,,
143,dotnet,csharp,project,pension management system dotnet project,https://mega.nz/folder/hg4FEYSI#GE4WwBc92wdBJWybh2q8fg,100,,,,,,,,,,
144,dotnet,asp.net mvc,project,portfolio management system asp.net mvc dotnet project,https://mega.nz/file/RlpUkRwZ#PQuYBbzJ3a_lK5O_CqbWycGYGBoDbL-bSO8Pb3uBXVU,80,,,,,,,,,,
145,dotnet,asp.net,project,return order portal management system dotnet project,https://mega.nz/file/58g2HJwY#iQvR3OhBBlHgMn_O2zIBERXjlmsAF4ZLnZSTfzqIdlA,80,,,,,,,,,,
146,dotnet,asp,project,railway reservation system dotnet project ,https://mega.nz/file/0lxGzbpT#Z_AUl9XLFUz7zU2kChLoWx3VNVv6oPmyYgFfCErw8dY,70,,,,,,,,,,
147,dotnet,asp,project,stationary management system dotnet project,https://mega.nz/file/984ExDJJ#zCgVgsdBi7WZ1NRjWguy61VowfRbKeFEKIz2LvthBPs,60,,,,,,,,,,
148,dotnet,asp.net,cc,hospital management system asp.net dotnet code challenge,https://mega.nz/file/hh4EmT7L#mADDGXXH6IbIkfVnXLmjJmiLu_rLoGMEPEy4bWYid1s,10,,,,,,,,,,
149,dotnet,asp,cc,weekly bonus asp.net dotnet code challenge,https://mega.nz/file/koxyTJYQ#HYvYek5F7oeuMSkSWejSkc3WjcK_ZOaq1N4LKbuFOPY,10,,,,,,,,,,
150,dotnet,asp,ict2,passport management system ict2 90% ,  https://mega.nz/folder/BgQxzQwS#CSFN3spW8BXwp0imIGTuAg     https://mega.nz/file/sgpknZrB#UaDovKrXXZJsHB9mokFH_WJts90zSJ4iDTOhQhB-cI0,5,,,,,,,,,,
151,dotnet,asp,cc,myshow asp.net code challenge,https://mega.nz/file/kkh0yZoA#QotO2FT0YEL62V3Yyr11n4EN7iu7__Db0wPyAltO664,10,,,,,,,,,,
152,java,automation,project,hotel availability seleniun automation project,https://mega.nz/file/wl4xiSTQ#wh9JKAZGodEcc-GqSFLvAGLAwy0fdD8j_nTaKg4vkCU,100,,,,,,,,,,
153,dotnet,asp,bu interview,asp bu interview trianing material ,https://mega.nz/file/IkgwkS4J#MRiyEO2WQ13XshsmtLKDxkfG6oVAaJys-HJQ9upKYds,15,,,,,,,,,,
154,java,project,without report,audit management system java project,https://mega.nz/folder/M8x1AKoA#RiSayPlv1jjDZHgjkPZSfQ,100,,,,,,,,,,
155,java,project,without report,claim management system or claim adjudication java project with 3 alternatives ,https://mega.nz/folder/VopzCAyL#DB53kUEyy19I7OwlPaMSYA,120,,,,,,,,,,
156,java,project,without report,courier tracking or management system java project with one alternative ,https://mega.nz/folder/txwh1QRJ#71p7uwctvu6e1Ur3gpeL4Q,90,,,,,,,,,,
157,java,react,without report,book my flight react or flight management system java  project totally 2 projects ,https://mega.nz/folder/M5pzlIpK#aF-X680V-pVgUZE4l-PmZg,100,,,,,,,,,,
158,java,project,without report,health inspector or inspection or management system project totally 4 project,https://mega.nz/folder/185HwAwA#9vas8zlGlXDngt1jSoBsyQ,120,,,,,,,,,,
159,java,project,without report,home stay or home stay management java project,https://mega.nz/folder/Bo53EIKC#OYZOyK539HycxCRabNzDhg,100,,,,,,,,,,
160,java,project,without report,hospital management system with spring boot and 3 more java project,https://mega.nz/folder/N1o3SKjA#zfK8SuWwjX8CAMZaJ2DVcA,120,,,,,,,,,,
161,java,project,without report,collateral loan all modules risk management also enhancement project availablr inside java project,https://mega.nz/folder/loIRyIIS#ypFt29dBkdfMN3BGDpS3Rg,125,,,,,,,,,,
162,java,project,without report,hotel management system and hotel reservation system java project,https://mega.nz/folder/8wgAFLAb#OqGtg67FHK50uTAt5F-xNw,100,,,,,,,,,,
163,java,project,without report,iptms international patient management system java project,https://mega.nz/folder/UlpgjDKQ#ABYKK8UADOr0FIyFyYF87g,100,,,,,,,,,,
164,java,spring mvc,project,job portal spring mvc java project,https://mega.nz/folder/Upp0xB4I#tovHO3oof0RPCgEO2ZmIsw,100,,,,,,,,,,
165,java,project,without report,library management system java project with 2 alternative ,https://mega.nz/folder/19wSDLoA#4vKQ6Yzp1jY0yPxK2LsyOA,100,,,,,,,,,,
166,java,project,without report,pension management system mfrp java project with 3 alternatives,https://mega.nz/folder/c44SEZbZ#xilPc_ikhag9d_7o_IsjyQ,125,,,,,,,,,,
167,java,project,without report ,pharmacy supply management system java project,https://mega.nz/folder/Epp2gT7K#uquYzH3-KkrC36ZIn3ob9w,100,,,,,,,,,,
168,java,project,without report ,portfolio management system java project,https://mega.nz/folder/pwxWDDbK#qK_ucpqSwniwiwGykWBVRg,75,,,,,,,,,,
169,java,project,without report,retail banking system java project,https://mega.nz/folder/xkxGAJQb#6o-ylj8p5FgO_gXFEH1Q6A,100,,,,,,,,,,
170,java,project,without report,return order management system java project with 3 alternatives,https://mega.nz/folder/Rs5WRRgb#xupmA9Fht8gfylhqUOokRw,125,,,,,,,,,,
171,java,project,without report,online shopping or eshopping java project,https://mega.nz/folder/Q1oQlR6a#wmWYHUtAy_trWr9qQhG4yQ,100,,,,,,,,,,
172,java,project,without report,sports management system ,https://mega.nz/folder/t1wGnDjS#Ld-Byd7vgfr9T5tPcrD4rg,100,,,,,,,,,,
173,java,project,without report,airport management system java project,https://mega.nz/file/M1pwEDwD#c7e0_BBYcn13mmAcj9sOu9Kt5PDrtmmAH2At17E-uc8,60,,,,,,,,,,
174,java,project,without report,blogging website java project,https://mega.nz/file/p0hgUD4D#zSWNEdgJuiQd2UFfCCCAmu0zjsfFzKjww_V8ZZZ4nr8,60,,,,,,,,,,
175,java,project,without report,book my movie or book my show java project,https://mega.nz/file/t15WjJTQ#hXgrIHUmpb_XTu7wQVKSPewVfmuBy-zOGUoQoHsmEqA,50,,,,,,,,,,
176,java,project,without report,book shopping or online book shop java project,https://mega.nz/file/8kpggLDa#3e7yNpkdaLICiWJztbvsR2aVwbyIN5fD-POZCW467oU,70,,,,,,,,,,
177,java,project,without report,broker management system java project ,https://mega.nz/file/Yp5iHJbD#MIcG3aVt1vY_Ay33GxX3gXrtHpZUQE2shJpgZR8PwLw,60,,,,,,,,,,
178,java,project,without report,bug tracking system java project,https://mega.nz/file/Akx2gBaI#-Rv3_UZ1Sz0jQOH2ANSi1HrO00I31KgaElfcaYGPtno,50,,,,,,,,,,
179,java,project,without report,charge back calculator java project,https://mega.nz/file/UtpwmBoT#_yBpY8G6WVnT1zaBgS_ou_fQ-AOeX578vkY2fupRLwU,60,,,,,,,,,,
180,java,project,without report,credit card onboarding java project,https://mega.nz/file/Qwp22TDK#mW3aMqQb41FC_uiWwko03bb2sGR7ewVOV2oxMi3s2C8,85,,,,,,,,,,
181,java,angular,spring mvc,elearning angular with spring boot java project,https://mega.nz/file/4ogiyDBC#OXsu4b6zOHXb5fVVUMhBn7yUHVRgmP2d41HLo_mRMZU,100,,,,,,,,,,
182,java,project,without report,electricity billing java project,https://mega.nz/file/14piDLAQ#WqI3-ZcZRqRCnJcdfLarq09TRaPeWPC-7d3Sy40M7gs,60,,,,,,,,,,
183,java,project,without report,employee health insurance java project,https://mega.nz/file/Q45yWRZb#Q_KJubvsNtn3uLpcw4mNOSP7PI6xGNlEX0jNQ7uJvMc,65,,,,,,,,,,
184,java,project,without report ,examination management system java project ,https://mega.nz/file/l84k1TiC#FlB83P6f6AFLvmbAvQKcAoo4UAVLIB5w6hMZfLxPkzo,65,,,,,,,,,,
185,java,spring,project,expense management system spring java project,https://mega.nz/file/lt5g2LpB#pWLiGhtQ_sTW5i1Y57WpBxYHdR-xfP2REGjTEelrGQc,70,,,,,,,,,,
186,java,springboot,project,online cab booking system spring boot java project,https://mega.nz/file/ExhCGbyI#7G4HWIGvH6N83SZeSZKgqS4hD_GqzmbEkdn_mZ6wSpE,85,,,,,,,,,,
187,java,project,without report,grocery store management java project,https://mega.nz/file/s0pGTZoD#iv8YqqZQVbpinzukVqAbbz5XCPxh81jPczmq4SGZHmk,70,,,,,,,,,,
188,java,project,without report,home service java project,https://mega.nz/file/ctgACJhb#vBD9hb3vQnMLWFr1GUduv3HPvN9XqFj-73B4evG7kXg,80,,,,,,,,,,
189,java,project,without report,hrm human resource management system java project,https://mega.nz/file/loxwVTJQ#hvW9vmWSpGYYoa9Dg-vcP6dwvRqr8tgQOG5YI8Sorc4,70,,,,,,,,,,
190,java,project,without report,institute management system java project,https://mega.nz/file/hwxUiDLI#CbRZSyJ52DDH2AyZLrlbF3kpHjSVEo-gyOrD86483HA,70,,,,,,,,,,
191,java,project,without report,interview schedule management java project,https://mega.nz/file/Bph01RiI#xWaHhw3K8pwNv0lC9xLxKhtiWY_oUNfCutDd9zGEnuA,70,,,,,,,,,,
192,java,project,without report,java student management system java project,https://mega.nz/file/d540iB6Y#9e4WAW7SO0GHWIcFFYp_sO29lhAbTQmFQS_dq2iuj-I,60,,,,,,,,,,
193,java,project,without report,mail order pharmacy java project,  https://mega.nz/file/Ug4GDBhJ#LaOwIMVSYoYjpBV3MedLgKUsZzP2Xi8LV1YqIXDJYfY  https://mega.nz/file/Q54wWDDI#vYBraKFN4hA5l-d-ufqmbNT6pMAKlnGezYvfxH6djhI,100,,,,,,,,,,
194,java,project,without report,home service mfrp java project,https://mega.nz/file/dt4Q2J5Q#Ez9lSBTh___E2q0e3_9dG_DEHEbYmZDGYpFipH1wPPc,60,,,,,,,,,,
195,java,project,without report,mfrp medicine management system java project,https://mega.nz/file/cx4QgbqD#4m_1keFZYO_a2b_HMXHflToq3UfPFY632Yn42wS_dtA,70,,,,,,,,,,
196,java,project,without report,mfrp claim management system java project,https://mega.nz/file/18pAHZqL#nVhjfj79YPRg6lZiQQN25IkNtLCwdou8_FjG0-ZvPgs,60,,,,,,,,,,
197,java,project,without report,online book store servlet java project,https://mega.nz/file/81pk3ZgY#lUm42Li2H2toh62Q2gQbrA7EfQlhpjqkZ1c82XiZhCE,70,,,,,,,,,,
198,java,project,without report,online blood bank system java project,https://mega.nz/file/UwgygZwa#mvl8RsE6Zr25WeCfgfwHv-cPfR61dBJuch3B3eZE7F8,70,,,,,,,,,,
199,java,project,without report,online leave policy service java project,https://mega.nz/file/Zwpm2ZhS#Chw_mAOjHC25ABcyRgFbDmxkq1pPCT-ewiYZ9ea8sSM,65,,,,,,,,,,
200,java,project,without report,party planning or event management system java project,https://mega.nz/folder/0l5yRQzS#1fJoln3TMGmypYfWCKkX0g,100,,,,,,,,,,
201,java,project,without report,petclinic spring java project,https://mega.nz/file/E45kGAAa#mxmRVvzKFkFm_DVy27kH6DG8T7IjvhXFwOVU3SmYbfU,75,,,,,,,,,,
202,java,project,without report,pizza java final project,https://mega.nz/file/854kVAib#YvajNt4HvDdDANBQqsJpxWDUnkMJg-Kq5bwwcOk4Lf8,75,,,,,,,,,,
203,java,project,without report,blood bank java project,https://mega.nz/file/F9p0FS5K#2JT0IX0gIVq__6wuNrnjwsNNJ73DkORBL66Qm_ArENM,80,,,,,,,,,,
204,java,project,without report,retail product management java project,https://mega.nz/file/I94yCAzR#KmK6t_svUk7VWQff9X0HGIqakvvHGgb6Qfy9tSzVlls,80,,,,,,,,,,
205,java,project,without report,skyroamer java project,https://mega.nz/file/B4hmwCTA#pU7TJpJLOOMk14CrwBO0eb1148joczdlpEDjzH9FRuM,80,,,,,,,,,,
206,java,project,without report,student teacher management system java project,https://mega.nz/file/RtoShQJT#RXv7PKF9gHuMr1H_F1ehMYi4SJ1yfuPT420Vu455MtY,80,,,,,,,,,,
207,java,project,without report,tailoring service java project, https://mega.nz/folder/l4w2XCzL#t7SbpR3sI9dqnYIDZwBMuQ    https://mega.nz/file/5ooAhS5Q#pf8Y60QuszKNG7g5uCPl8EukT3AzcmqTk4B5URpfAj4,100,,,,,,,,,,
208,java,project,without report,tsc teacher student connect java project,https://mega.nz/file/gkgQkK5J#faVA0cSMAOnV48AlhDR1c0xL3qvUEnGn21vBryqRhsc,70,,,,,,,,,,
209,java,project,without report,token review system java project,https://mega.nz/file/wop0jYgR#PFiCaH5ypWTfc3xy-gaZimQ3UeZ6za2TMZkPH2A_-YA,50,,,,,,,,,,
210,java,project,without report,toll bill generation java project,https://mega.nz/folder/VhZHSYTS#_8F3GYjaZU9hiuPz2malKg,100,,,,,,,,,,
211,java,project,without report,vehicle tracking system java project,https://mega.nz/file/RogABKRa#eN20do81-3yp8XpWK1z27IRbsU14HYg7HJNK3kSs9-8,60,,,,,,,,,,
212,java,selenium,miniproject,automate ecommerce java selenium project,  https://mega.nz/folder/Rg4AgJbI#3bGySANRBw9uDHmcn6QddA    https://mega.nz/file/19oSmBBQ#4Myxmlb-NOlIJr1cNkYSJsOhCErVXXN-q9RvvTnbNPc,80,,,,,,,,,,
213,java,Spring mvc,project,food donation a029 spring mvc java project,  https://mega.nz/folder/osxwnADA#wy_-iV-Mkl_wHLEhrn1eKg    https://mega.nz/file/00hQlB5D#rk4OwxQm-yZYsnpkCieN11CE1_wbyioLNP0VBaAI2q4,120,,,,,,,,,,
214,java,assess type 2,ict,health insurance payment automation java ict,https://mega.nz/file/5wp1zADK#NWdhQpi8a9MRG6Be6o7jGgRvj9pr6cmFlx9sPRLy_7M,15,,,,,,,,,,
215,dotnet,asp,ict2,restaurant management system asp dotnet mvc ict2, https://mega.nz/file/IxYigBoL#BaX8I5CE_Cdn-4FXJr7NkWLt2e8NFsvZMCBJfcXZCYk  https://mega.nz/file/0g4UhADB#85alsU5-Jc8fNxNsJqSNBbHVsOiUNjpdDsWSuYfTOZg,15,,,,,,,,,,
216,java,selenium,project,store name mandatory check selenium java project,https://mega.nz/file/xhgTlC4Z#32cg-WG4EwwBPvg5BeshBrzi5Fiu8aNp0q0dUlF4LaA,60,,,,,,,,,,
217,java,spring,cc,lexa kiwi showroom spring cc java code challenge,https://mega.nz/folder/dtB1VK7D#hoMwTUEzAiHcXr3CCYjYnQ,15,,,,,,,,,,
218,java,selenium,project,irctc train and flight search automation selenium mini project,https://mega.nz/folder/VkpiWAQB#PxMQ3i08mYMoZ7r6qewHaw,40,,,,,,,,,,
220,java,spring,cc,stationary bill spring java code challenge cc,https://mega.nz/folder/V9xyVKRK#7BbIba_d8U0CezYxzpYoCA,20,,,,,,,,,,
221,java,spring,cc,go go parcel service spring cc java code challenge ,https://mega.nz/file/t4pAXaCL#Q7Q5vo_TVpP_Klwgn0iljcx1doapV7d4bc4dTbQL1PI,15,,,,,,,,,,
222,java,spring,cc,furn turn outlet spring cc java code challenge,https://mega.nz/file/055A1QDI#OigObKR_8PRxYp1NOPk38qb4ylzDbyHtnaoHrAsrXEE,15,,,,,,,,,,
223,java,spring,cc,day out travel service spring cc java code challenge ,https://mega.nz/file/Zp5UHKRZ#z_ewGjbYHE-Vg9Hb7_DlOJYpLUOXSHesLEZjuvJtvAo,15,,,,,,,,,,
234,java,spring mvc,project,GSD global service desk management java spring mvc project,https://mega.nz/file/k9ZklRbC#QcMkstSa4cgo2UUhJNdAHB_jot1Tb3yi4dtPBSYXbsY,80,,,,,,,,,,
235,java,spring mvc,project,carpool spring mvc java project,https://mega.nz/file/08QQ1TbD#bRwNrU57VgtkFyOf0Q8IbUlATPYxunSMH3wn3q4J1oo,80,,,,,,,,,,
262,dotnet,asp,ict,plasma donor asp dotnet ict,https://mega.nz/file/ctpUQDJB#3OfODgsmovgR_WJRRCCRG3GdVJp1TCXiHhK-2Ze4VaM,15,,,,,,,,,,
264,java,spring,ict,loan eligibility v1 passed service spring java ict ,https://mega.nz/folder/pt5EVQJK#N7wralmSjUmSsp-4dytMzA,15,,,,,,,,,,
276,java,junit,cc,bank app junit tdd code quality,https://mega.nz/file/shhSBDSL#-qww7S-Ie3GPz7E6G6g4OCsgocbYYUu_Jz5pDX1TL5I,15,,,,,,,,,,
277,dotnet,asp mvc,with report,academy portal asp dotnet project,https://mega.nz/file/9p5xXI5Y#_mipnI5Imq71YXbISZsFZfWv-4B3h3mFc4HDqLwaHmQ,100,,,,,,,,,,
284,java,project,without report,risk discovery java project,https://mega.nz/file/E54kQYAY#ZMUTskErTsIRF2cxdVkoid31NRG_OvFyFi0nTZ3_izU,70,,,,,,,,,,
342,rdp,microservice and cloud,kba,microservice kba and cloud kba,https://mega.nz/folder/x5B1SSaL#LON6M26gqzw3uy5aVFQbnw,50,,,,,,,,,,
343,java,selenium,project,gadget automation snapdeal and bluetooth java selenium project,https://mega.nz/file/UtxiXaqa#mAhm2oyPcfdLnnCv-S1EyVLsDhUdYsPXnuSSCf_nyZk,100,,,,,,,,,,
344,java,angular,spring boot,hospital management system java project with angular frontend and spring boot java mysql as backend ,  https://mega.nz/folder/U0gWyIrR#uDGDWIxwqgPoHeMGAasEhw    https://mega.nz/file/hw4iQCrS#V1kkzMP-pXO4eDZdGmEQ3z-Z06XkOGDzcmnR2cEn9H8,120,,,,,,,,,,
345,java,selenium,cc,shopify basic web element selenium cc,https://mega.nz/file/tgoVgIAA#MN3iqEacFgWJZ-Rc_sZ9Qw-sbUCK4xSBfpCwXWy91rU,15,,,,,,,,,,
346,accenture,solutions,all at one shot,This have all accenture solutions such as algorithm,java,junit,logical,oop uml,python,rdbms,software engineering concepts,unix webtechnology,xml,https://mega.nz/folder/ZkhmCSzY#V6kg3kaEUGJhpXgF-jsvUg,200,
347,java,automation anywhere ,rdp,automation anywhere rpa project including multiple projects such as excel , pdf , atm , bloodbank , xml ,https://mega.nz/file/19xgiTpT#vah2vjyaYuGqZ02KjeZXl_Y36yDgBAOVNlUstC0OPsk,100,,,,,,
348,java,hackathon,project,one way outstation cab hackathon project,https://mega.nz/file/85pSibbT#p8MuTRe4rGzR_jdNa9N_p-TzsFmPfPR1RJ8H5gsvbx4,100,,,,,,,,,,
349,java,hackathon,microservice,currency converter conversion hackathon spring microservice project,https://mega.nz/file/5sJiVT5T#OQvF9U6c4Jfn6djLyTyCVV6lz1g-edg5RnTYKNWokT4,75,,,,,,,,,,
350,tcs,python handson,fresco play,Fresco play tcs python handson,https://mega.nz/file/EwgDXQKR#rM0D2rQ3-ud0y7pQknd_k9ZS2qUa2eRQEnxEcgaSTC4,15,,,,,,,,,,
351,dotnet,asp,ict,overanalysis app 100% dotnet asp ict ,https://mega.nz/file/o8ZjFIJB#lzwHhal3_uZKjX1bGC6Ob0BUjjlJKk6ah0tccTG-aXU,15,,,,,,,,,,
352,dotnet,asp,ict,employee commute dotnet ict, https://mega.nz/folder/0pJ3AYYQ#Z79jtnmJLTxqaewiHBqtTw   https://mega.nz/file/NlRRQYJK#FmJFzK0o6ttQtjAc_RZtw5mn3LMsiF5b337ZnZEw99c,15,,,,,,,,,,
353,wipro,java,mettl,wipro mettl solution for milestone 1 2 3 ,https://mega.nz/file/VsImkLbR#Mt2MxtbuIWQ9z2fVxn3Jsbw3vAQw9jSIlhEQZWrgq14,50,,,,,,,,,,
354,java,spring,cc,passenger amenity java cc,https://mega.nz/file/k5JiRRZC#xqZcdihkplLEpSE2_4rYAJK07-vuZcZ-hnntQn6ef2M,10,,,,,,,,,,
356,java,stage1,cc,silver health plan insurance java cc,https://mega.nz/folder/ksIwxDTA#ShXda5oOIB5Tc6tv_Xkbmg,15,,,,,,,,,,
357,dotnet,csharp,cc,profit sharing app csharp cc,https://mega.nz/file/o94GTI5B#VZHMv9BB15Naqke5QL1ZveT7PeJwFVQhgG-avP3FO2c,15,,,,,,,,,,
358,dotnet,csharp,cc,investment app csharp cc,https://mega.nz/file/MhoSwArT#AYbtwp_16yU_0SL3wnYGLSIgWRz3Jw7z_my6k9Xbdqo,15,,,,,,,,,,
359,dotnet,csharp,cc,fee reimbursement csharp cc,https://mega.nz/file/Yg5AwAZY#vg09eaiKyIyQNdJCPf-wjbMyO6GFn4c0mVtSpbtvDNQ,15,,,,,,,,,,
360,dotnet,csharp,cc,dream wedding csharp cc,https://mega.nz/file/Rx5ClKIJ#xgk4hPa9rLGv3pltzWqHNB53V2Iqf2-asAAV9FpuXQ8,15,,,,,,,,,,
361,dotnet,csharp,cc,double discount csharp cc handson,https://mega.nz/file/doh2nIJQ#RlC48azYihFSxw3uVmunPvtWuuF_4VSEM3YRsdMR38Y,15,,,,,,,,,,
362,dotnet,csharp,cc,currency converter csharp cc,https://mega.nz/file/Y0oU0IaD#wgNvdl9HdFzGhHUyb5DewwEwSMQw7Yxs4jNOnh2cCs8,15,,,,,,,,,,
363,dotnet,csharp,cc,appointment booking csharp cc,https://mega.nz/file/V152zSrJ#7IwzP2BnuFU1tGZ7b8m8F7Vfbgh8uvTn6Bq1_LjD1aM,15,,,,,,,,,,
364,dotnet,csharp,cc,movie booking app csharp cc,https://mega.nz/folder/o4wAHQKb#xmjcx1lrSlrs5GcAdGwK3g,15,,,,,,,,,,
365,dotnet,csharp,cc,company sales app csharp cc,https://mega.nz/folder/I54GDCQQ#zrGyPyRhlGpqU-l2eptXeQ,15,,,,,,,,,,
366,dotnet,csharp,ict,logistics management system ict2 csharp dotnet ,https://mega.nz/file/g0Y0UJCS#R2Wqp4JX7zRdZ3IwfhRHd4Lh9GoE28-W_6O6GbY0i_k,20,,,,,,,,,,
367,dotnet,csharp,cc,bank account details csharp cc,https://mega.nz/file/sxZUAbZJ#9anNO6bLlkFVhjUh2LmQZ0ywvAmF5NQs0kwh866p5-Y,5,,,,,,,,,,
368,java,junit,cc,book a movie ticket junit java cc,https://mega.nz/file/cl4mxJqT#J8S0zhVlk58CSxLMv8oDn6RSGgbRm4N0MyF5RUlSoRs,15,,,,,,,,,,
369,java,stage1,ict,buffet restaurant java ict cc,https://mega.nz/folder/Il5kWLYY#UkMICzwbk2DS3ysmZmYlyw,20,,,,,,,,,,
370,accenture,java,gft,accenture gft java training solutions for week1 to week 4,https://mega.nz/folder/h5xkmRjJ#jWG5uBS1NWdQxu6LkICK-A,200,,,,,,,,,,
371,java,stage1,ict,mobile accessories v1 java ict,https://mega.nz/file/ttJ0WLSB#0-tGvepRFLXeSO9u14VdPonF6ztaokREC8Xd7_WKhgg,15,,,,,,,,,,
372,java,hackathon,project,Display all the sports activities for coming weekend in your preferred location with lowest charges on top selenium hackathon project,https://mega.nz/file/Ug5UwYZQ#rz7pIWKIe5mnshI9G2urFPefbclU9miPNhcbB9UJtbQ,75,,,,,,,,,,
373,dotnet,sqlserver,handson,sql server handson,https://mega.nz/folder/olomxKoD#rtmUDwfyRXOfKufk1Ub3sA,30,,,,,,,,,,
374,dotnet,sqlserver,cc,acmekart logistics sqlserver cc,https://mega.nz/file/h1AARRqR#7qyZbw7peeWTLth3sEc-hY7N3Hh96YE5a8kUH2gozfg,10,,,,,,,,,,
376,reactjs,cognizant,project,teleconsultation project react js,https://mega.nz/file/g9xQBY6b#8E2DmK87tWOB0JnH0vU7Wxz3euYuaya1rxjDXb6--cg,60,,,,,,,,,,
377,dotnet,4 projects by diff user,project,home service dotnet project,https://mega.nz/folder/Mk5nxabI#HILwB0unAM5YnVMchw-0NA,120,,,,,,,,,,
378,dotnet,sqlserver,cc,bike store drl sqlserver cc,https://mega.nz/file/ZswGVbrK#XCeRpID5ud7ElVrsC690fJ1qm7w64M8Wdqje64dMC1E,5,,,,,,,,,,
379,dotnet,sqlserver,cc,bike store ddl sqlserver cc,https://mega.nz/file/4hpWGZyA#K-SGBV85BSlioT9dd8XpzFcXCeYZRII8t4ofsnO0nSQ,5,,,,,,,,,,
380,dotnet,sqlserver,cc,clothing ddl sqlserver cc,https://mega.nz/file/At4kVbBZ#4XZL2_0psz-owqit56B3YsbijvBJUqZARpkVvD2lALs,5,,,,,,,,,,
381,dotnet,sqlserver,cc,clothing drl sqlserver cc,https://mega.nz/file/R15mRRqQ#O7FslICMYtYfOr0qYXST5c-jQ-gDGXsUyi2dYOSdXhs,5,,,,,,,,,,
382,dotnet,sqlserver,cc,lodging ddl sqlserver cc,https://mega.nz/file/1toQVbKC#bvHzQtDPLkC8THO0w6CNxQT1701Ddh33W8kb-MWcz3s,5,,,,,,,,,,
383,dotnet,sqlserver,cc,lodging drl sqlserver cc,https://mega.nz/file/9sw0ARJI#iO1dmRU8EUVhzcrNBicIjvdJ1zepBakIus5J6yBpFM8,5,,,,,,,,,,
384,dotnet,sqlserver,cc,movie box ddl and lodging drl sqlserver cc,https://mega.nz/file/hhoCCRwA#j_1bau5A0U_GX5zEucucibjPf3ZNFJjjtZotPWEihtg,5,,,,,,,,,,
385,dotnet,sqlserver,cc,movie box stored procedure sqlserver cc,https://mega.nz/file/VlhyxT4a#KhrTUC2oyNY-PQKiXUE2WDh8yUxqUsLh_U013VxmmXI,5,,,,,,,,,,
386,dotnet,sqlserver,cc,pet clinic drl sqlserver cc,https://mega.nz/file/BlpA3JKA#CYztp8QQ9xtAsi2ZVADZFI-jFY3JK68RfkY0mieJqp8,5,,,,,,,,,,
387,dotnet,sqlserver,cc,pet clinic stored procedure sqlserver cc,https://mega.nz/file/hxoAWD4Y#NvnvfoX-0mbOJ2Qv1m_YoKq3JEuZ3kCOYFZndczD2EU,5,,,,,,,,,,
388,dotnet,sqlserver,cc,petclinic ddl sqlserver cc,https://mega.nz/file/Z5gSjb7Y#lVLpN48bMAnPSi8DG6nChUlWhGG_dRn4IqUu5paGEdc,5,,,,,,,,,,
389,java,stage1,cc,annual salary java cc,https://mega.nz/file/B5RGQbQK#tA3sUt6ChsUWIOA6NbAh9tOaZlBeoJsP9wvSuPmQo_A,10,,,,,,,,,,
390,java,stage1,cc,gd hospital java cc,https://mega.nz/folder/AkBDnCRA#PxqbkA521h5aq1dNG9rf5w,10,,,,,,,,,,
391,java,stage1,cc,eshopping java cc,https://mega.nz/file/g9onGAyY#1Foa15jZwWJekbzN6qEyEHC4JPS8yLsfXpNuWixbZgU,10,,,,,,,,,,
392,dotnet,sqlserver,cc,Extract the employee and salary grades with department names sqlserver cc,https://mega.nz/file/skokzCKA#2loTwka_LGbCvZ9AvwvrOCD7GI2BAW97RIii52lYq-g,5,,,,,,,,,,
393,java,cognizant,project,search for health care java project,https://mega.nz/folder/xlwShYzI#pYI0OEeW1AZZhgqjB91pRw,100,,,,,,,,,,
394,java,cognizant,project,tender management system java project totally 5 project there open readme to suit your needs,https://mega.nz/folder/40oW3ACL#jeZKrE_xsDVs914FrMZKeA,125,,,,,,,,,,
395,java,cognizant ,project,lending tree java project for loan automation there are 5 projects see readme files for better suite ,https://mega.nz/folder/YwwlTa5a#gEjmcXaSICyeGp850Cv0tw,125,,,,,,,,,,
396,java,cognizant,cc,Singapore tourism java cc,https://mega.nz/file/Ug5mRCZa#byaiB8PR3BEMdEnAxrvlvfvdGq7oMt4m0CMluNQ2h2o,10,,,,,,,,,,
397,dotnet,sqlserver,cc,PROCEDURE TO RETRIEVE THE PLAYER DATA sqlserver cc,https://mega.nz/file/AsJTGQBJ#qrC9qenWaigNIbPUFOUFoMIGsh-tYRJsYZtl5ZJMrIs,5,,,,,,,,,,
398,rdp,cics,kba,cognizant cics rdp kba,https://mega.nz/folder/JhZ1mSxZ#CNLgYNBLFbZ_OQTfIpSxig,50,,,,,,,,,,
399,dotnet,asp mvc,project,event hall booking or management system asp.net mvc using code first approach,https://mega.nz/folder/R4BBlCCI#EW5OKBv63SB9BEbQ-1VlUw,100,,,,,,,,,,
400,dotnet,asp mvc,project,student management system asp mvc dotnet project 3 projects available,https://mega.nz/folder/t0pSFaQC#3i5F3vlpw2omgqGg3OEHDw,100,,,,,,,,,,
401,dotnet,asp mvc,project,online book store asp mvc sqlserver dotnet project 4 projects inside,https://mega.nz/folder/V4xUmAAJ#9YqOafg3zTthrpBArO05wQ,125,,,,,,,,,,
